"","Product.Group.ID","Product.Group.Name.x","Business.Unit","MIN.Start.Month.Group","MIN.Effective.Start.Date","MAX.End.Month.Group","MAX.Effective.End.Date","Billed.Account.ID","Billed.Account.Name","Account.Name","Finance.Tier","Customer.Support.Tier","Based.Country","Geography..G.","Division..D.","Region..R.","Area..A.","Territory..T.","Product.Group.tier.2","Product.Group.tier.3","Product.Group.tier.4","Hyp...Business.Unit","Total.Past.12.Months.Dollar","Estm.Historical.Monthly.Rev","Contract.Months.Remaining","Contract.Remaining.Value..Q3.2014.to.Q2.2015.","Contract.Remaining.Value..Q4.2014.to.Q3.2015.","Contract.Remaining.Value..Total."
"25","1-1V5E5L","EDGECOMPUTING","Web Experience","7/1/10 0:00","7/1/10 0:00","11/30/14 0:00","11/30/14 0:00","1-9NMP0","LexisNexis, a division of Reed Elsevier Inc.","LexisNexis, a division of Reed Elsevier Inc.","C","E","USA","Americas","Industry","Media","Media","Media","EdgeComputing","Web Experience Other","Web Experience Other","Web Experience BU","$24,200.00","$2,016.67",5,"$10,083.33","$10,083.33","$10,083.33"
"73","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","2/1/06 0:00","2/22/06 0:00","12/31/14 0:00","12/14/14 0:00","1-1C5S","HPES","HPES","B","E","USA","Americas","Channel Direct","Other","Reseller Accounts","Reseller Accounts","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","-$32,848.99","-$2,737.42",6,"-$16,424.50","-$16,424.50","-$16,424.50"
"110","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","7/1/05 0:00","7/1/05 0:00","4/30/15 0:00","4/30/15 0:00","1-2P77WZ","LoopNet, Inc.","LoopNet, Inc.","C","E","USA","Americas","Enterprise","Enterprise West","West","SoCal","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$281,178.80","$23,431.57",10,"$234,315.67","$234,315.67","$234,315.67"
"111","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","3/1/11 0:00","3/28/11 0:00","12/31/14 0:00","12/31/14 0:00","1-110HAH","Proquire L L C","AstraZeneca","B","E","USA","Americas","Enterprise","Enterprise East","Mid Atlantic","Mid Atlantic","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$132,060.00","$11,005.00",6,"$66,030.00","$66,030.00","$66,030.00"
"130","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","9/1/12 0:00","9/1/12 0:00","9/30/14 0:00","9/30/14 0:00","1-13K4T3F","Jive Software","SAP America, Inc.","E","E","USA","Americas","Enterprise","Enterprise East","Mid Atlantic","Mid Atlantic","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$35,856.61","$2,988.05",3,"$8,964.15","$0.00","$8,964.15"
"165","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","11/1/13 0:00","11/1/13 0:00","10/31/14 0:00","10/31/14 0:00","B-3-VH6I0N","AT&T Services, Inc.","Nintendo of America Inc.","","E","USA","Americas","Enterprise","Enterprise West","Gaming","Gaming","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$712.35","$59.36",4,"$237.45","$0.00","$237.45"
"206","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","12/1/09 0:00","12/1/09 0:00","3/31/16 0:00","3/31/16 0:00","1-5K8P","Verizon Business","Tyco Electronics Corporation","E","E","USA","Americas","Enterprise","Enterprise East","Mid Atlantic","Mid Atlantic","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$177,077.51","$14,756.46",21,"$177,077.51","$177,077.51","$309,885.64"
"231","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","9/1/06 0:00","9/30/06 0:00","11/30/14 0:00","11/30/14 0:00","1-9NMP0","LexisNexis, a division of Reed Elsevier Inc.","LexisNexis, a division of Reed Elsevier Inc.","C","E","USA","Americas","Industry","Media","Media","Media","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$48,353.40","$4,029.45",5,"$20,147.25","$20,147.25","$20,147.25"
"288","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","1/1/13 0:00","1/1/13 0:00","12/31/14 0:00","12/31/14 0:00","1-13K4T3F","Jive Software","Cameron International Corp.","","E","USA","Americas","Enterprise","Enterprise West","West","Southwest","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$0.00","$0.00",6,"$0.00","$0.00","$0.00"
"315","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","7/1/07 0:00","7/21/07 0:00","5/31/16 0:00","5/31/16 0:00","1-UXVO8J","Manhattan Centerstone Software","Manhattan Centerstone Software","C","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Enterprise","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$55,000.00","$4,583.33",23,"$55,000.00","$55,000.00","$105,416.67"
"335","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","12/1/11 0:00","12/1/11 0:00","7/31/14 0:00","7/31/14 0:00","15Q-8E09","TransHotel Servicios Corporativos S.L.U","TransHotel Servicios Corporativos S.L.U","C","E","Spain","EMEA","SER","Spain","Spain","Spain","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$17,908.79","$1,492.40",1,"$1,492.40","$0.00","$1,492.40"
"449","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","9/1/10 0:00","9/1/10 0:00","8/31/14 0:00","8/31/14 0:00","AANA-7XT3VB","AEC Group, Inc.","AEC Group, Inc.","","E","USA","Americas","Channel Direct","Platform Partners","Platform Partners","Platform Partners","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","-$29,521.97","-$2,460.16",2,"-$4,920.33","$0.00","-$4,920.33"
"473","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","5/1/09 0:00","5/1/09 0:00","4/30/16 0:00","4/30/16 0:00","AANA-XUH3E","Nuance Communications, Inc.","Nuance Communications, Inc.","D","E","USA","Americas","Industry","High Tech","High Tech","High Tech","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$105,574.05","$8,797.84",22,"$105,574.05","$105,574.05","$193,552.43"
"475","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","12/1/06 0:00","12/1/06 0:00","11/30/14 0:00","11/30/14 0:00","B-3-AFKF7V","ARTURAI ITALIA SRL","ARTURAI ITALIA SRL","","E","Italy","EMEA","SER","SER Channel","SER Channel","SER Channel","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","-$33,323.98","-$2,777.00",5,"-$13,884.99","-$13,884.99","-$13,884.99"
"484","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","2/1/13 0:00","2/1/13 0:00","2/28/15 0:00","2/28/15 0:00","1-13K4T3F","Jive Software","Instituto Colombiano de Beneficencia Familiar","","E","Colombia","Americas","Channel Direct","LATAM","VAR LATAM","VAR LATAM","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$0.00","$0.00",8,"$0.00","$0.00","$0.00"
"501","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","11/1/13 0:00","11/15/13 0:00","10/31/14 0:00","10/31/14 0:00","B-3-VH6I0N","AT&T Services, Inc.","AT&T Connect","","E","USA","Americas","Foundation","Carrier Americas","Carrier Americas","Carrier Americas","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$9,800.00","$816.67",4,"$3,266.67","$0.00","$3,266.67"
"502","1-38O9N9","WEB APPLICATION ACCELERATOR","Web Experience","11/1/13 0:00","11/15/13 0:00","10/31/14 0:00","10/31/14 0:00","F-AC-1348291","AT&T Connect","AT&T Connect","","E","USA","Americas","Foundation","Carrier Americas","Carrier Americas","Carrier Americas","WAA/APS-E","Enterprise Web - Alta/WAA/APS-E","Enterprise Web","Web Experience BU","$9,800.00","$816.67",4,"$3,266.67","$0.00","$3,266.67"
